1,"Utah Community Credit Union(Orem, UT)Type: Checking, Money Market Account, Savings,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
2,Rollover IRA Fidelity Management,Retirement PlansIRA,Joint,,,
2.1,FFTHX,Mutual FundsMutual Fund,Joint,"$100,001 - $250,000","Dividends,",None (or less than $201)
3,Utah Retirement System,Retirement PlansDefined Contribution Pension Plan,Joint,,,
3.1,Long Horizon Fund,Mutual FundsMutual Fund,Joint,"$15,001 - $50,000","Dividends,",None (or less than $201)
4,"Utah Community Credit Union(Provo, UT)Type: Checking,",Bank Deposit,Spouse,"$100,001 - $250,000","None,",None (or less than $201)
