6.4,"ToskCompany: Tosk, Inc. (Wilmington, DE) Description: Biopharmaceutical company.",Corporate SecuritiesNon-Public Stock,Self,"$15,001 - $50,000","None,",None (or less than $201)
7,Schneider Electric Pension,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
8,Delaware Pension,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
9,Donor Advised Fund,Brokerage/Managed Account,Self,,,
9.1,"Charles Schwab(Wilmington, DE)Type: Brokerage Sweep Account,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
9.2,BND - Vanguard Total Bond Market ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","None,",None (or less than $201)
9.3,XLRE - S&P 500 Real Estate Sector SPDR,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
9.4,SPLG - SPDR Large Cap Portfolio ETF,Mutual FundsExchange Traded Fund/Note,Self,"$100,001 - $250,000","None,",None (or less than $201)
9.5,VEA - Vanguard FTSE Developed Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.6,SPMD - SPDR Mid Cap Portfolio ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.7,AVUV - Avantis U.S. Small Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.8,IEMG - iShares Core MSCI Emerging Markets ETF,Mutual FundsExchange Traded Fund/Note,Self,"$15,001 - $50,000","None,",None (or less than $201)
9.9,AVDV - Avantis International Small Cap Value ETF,Mutual FundsExchange Traded Fund/Note,Self,"$1,001 - $15,000","None,",None (or less than $201)
9.10,Delaware Community Foundation,Brokerage/Managed Account,Self,,,
9.10.1,Delaware Community Foundation Flagship Long-Term Pool,Equity Index-Linked Note,Self,"$250,001 - $500,000","None,",None (or less than $201)
