16.7,IYMIX - Delaware Ivy Mid Cap Growth Fund Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
16.8,JENIX - Jensen Quality Growth Fund Cl I,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
16.9,RAIIX - Rainier International Discovery Series - Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
16.10,TSCSX - Thrivent Small Cap Stock Fund Class S,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
16.11,VWUAX - Vanguard  U.S. Growth Fund Admiral Shares,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains,",None (or less than $201)
16.12,VGISX - Virtus Duff & Phelps Global Real Estate Securiti,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
16.13,PLSRX - Pacific Funds Strategic Income - Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
16.14,MAWIX - Blackrock Strategic Global Bond Fund Inc. - Ins,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
16.15,GSDUX - Goldman Sachs Short Duration Tax Free Fund Insti,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","None,",None (or less than $201)
16.16,GIBIX - Guggenheim Total Return Bond Fund- Institutional,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
16.17,LAHYX - Lord Abbett Investment Trust High Yield Fund Cla,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
16.18,TFEBX - The Tax-Exempt Bond Fund of America - Class F-3,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","None,",None (or less than $201)
16.19,IXUS - Total Intl Stock Ishares Core MSCI ETF,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
16.20,DGRO - iShares Core Dividend Growth ETF,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends,",None (or less than $201)
17,Michael Coons,Brokerage/Managed Account,Child,,,
17.1,GQGIX - Gqg Partners Emerging Markets Equity Fund Instit,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.2,RGERX - Columbia Select Global Equity Fund Class I2,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.3,IYMIX - Delaware Ivy Mid Cap Growth Fund Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
17.4,JENIX - Jensen Quality Growth Fund Cl I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
17.5,RAIIX - Rainier International Discovery Series - Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.6,TSCSX - Thrivent Small Cap Stock Fund Class S,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.7,VWUAX - Vanguard  U.S. Growth Fund Admiral Shares,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.8,VGISX - Virtus Duff & Phelps Global Real Estate Securiti,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.9,MAWIX - Blackrock Strategic Global Bond Fund Inc. - Ins,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.10,GIBIX - Guggenheim Total Return Bond Fund- Institutional,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
17.11,LAHYX - Lord Abbett Investment Trust High Yield Fund Cla,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
17.12,IXUS - Total Intl Stock Ishares Core MSCI ETF,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
17.13,DGRO - iShares Core Dividend Growth ETF,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends,","$201 - $1,000"
17.14,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Interest,",None (or less than $201)
17.15,HIGFX - American High-Income Trust - Class F-3,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
17.16,PLSRX - Pacific Funds Strategic Income - Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
17.17,GSDUX - Goldman Sachs Short Duration Tax Free Fund Insti,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","None,",None (or less than $201)
17.18,TFEBX - The Tax-Exempt Bond Fund of America - Class F-3,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","None,",None (or less than $201)
17.19,"WSFS Bank(Wilmington, DE)Type: Checking, Money Market Account, Savings,",Bank Deposit,Child,"$250,001 - $500,000","Interest,",None (or less than $201)
18,New Castle County Pension Plan,Retirement PlansDefined Benefit Pension Plan,Self,"$15,001 - $50,000","None,",None (or less than $201)
19,"TCS Lease Management LLCCompany: TCS Lease Management LLC (Sanibel Island, Florida) Description: Rental Real Estate",Business EntityLimited Liability Company (LLC),Self,,,
19.1,"Sanibel Island CondoDescription: Real Estate (Sanibel Island, Florida) Filer comment:  Gifted by Sally Gore to her three sons, which includes Chris Coons.",Real EstateResidential,Self,"$500,001 - $1,000,000","Rent/Royalties,","$15,001 - $50,000"
19.2,"PNC(Wilmington, DE)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
19.3,TCS Lease Management LLC Investment Acct,Brokerage/Managed Account,Self,,,
19.3.1,"Mariner Wealth Advisors(Overland Park, KS)Type: Money Market Account,",Bank Deposit,Self,"None (or less than $1,001)","Interest,",None (or less than $201)
20,Putnam 529 Investment Institution: Putnam Investments,Education Savings Plans529 College Savings Plan,Spouse,,,
20.1,Putnam 529 Age-Based GRAD-A,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
20.2,Putnam 529 Age-Based GRAD-C,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
