3.16,DGRO - iShares Core Dividend Growth ETF,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
4,"W.L. Gore & Associates Inc.Company: W.L. Gore & Associates Inc. (Newark, DE) Description: Manufacturing",Corporate SecuritiesNon-Public Stock,Spouse,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$5,001 - $15,000"
5,NFS/FMTC IRA FBO Ann M Coons,Retirement PlansIRA,Spouse,,,
5.1,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.2,CNSFX - Invesco Convertible Securities Fund Cl R6,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.3,BIOIX - Baron Opportunity Fund Inst Shs,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.4,FTHSX - Fuller & Thaler Behavioral Small-Cap Equity Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.5,CSSPX - Cohen & Steers Global Realty Shares Inc Class I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.6,GERIX - Goldman Sachs Emerging Mkts Equity Insight Fd IN,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.7,OANMX - Oakmark Fund Institutional Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.8,GLIFX - Lazard Global Listed Infrastructure Ptf Insti Sh,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.9,LBFIX - Clearbridge Select Fd I,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.10,VWILX - Vanguard International Growth Fund Admiral Share,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.11,HIGFX - American High-Income Trust - Class F-3,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.12,BSBIX - Baird Short Term Bond Fund Institutional Class,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.13,JSOSX - Jpmorgan Strategic Income Opportunities Fund I C,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.14,GOBIX - Brandywineglobal - Global Opportunities Bond Fun,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.15,LAHYX - Lord Abbett Investment Trust High Yield Fund Cla,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.16,RPIFX - T. Rowe Price Institutional Floating Rate Fund,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
5.17,DVY - iShares Select Dividend ETF,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
6,Scholar's Edge 529Institution: Scholar's Edge,Education Savings Plans529 College Savings Plan,Spouse,,,
6.1,Scholar's Edge Fixed Income Portfolio A,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
6.2,Scholar's Edge Today Portfolio A,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
6.3,Scholar's Edge Today Portfolio C,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
6.4,Scholar's Edge Aggressive Portfolio A,Mutual FundsMutual Fund,Spouse,"None (or less than $1,001)","Excepted Investment Fund,",None (or less than $201)
7,Christopher Coons Charitable Remainder Trust,TrustGeneral Trust,Self,,,
7.1,"WSFS Bank(Wilmington, DE)Type: Checking,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
7.2,Talcott Resolution AnnuityProvider: FCG Advisors,AnnuityVariable Annuity,Self,,,
7.2.1,Htfd Ttl Return Bond HLS,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.2.2,AB VPS Intl Value Port,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.2.3,Htfd Intl Opp HLS,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.2.4,Put VT Intl Equity,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.2.5,Fidelity VIP Equity-Incm,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.2.6,Fidelity VIP Grwth,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.2.7,Htfd Disciplined Eqty HLS,Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
7.2.8,Invesco Capital App Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.2.9,InvescoV.I. Comstock Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.2.10,Invesco Main St Small Cap,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.2.11,Putnam VT Small Cap,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.2.12,AB VPS Relative Value Portfolio,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.3,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.4,CNSFX - Invesco Convertible Securities Fund Cl R6,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.5,BIOIX - Baron Opportunity Fund Inst Shs,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.6,FTHSX - Fuller & Thaler Behavioral Small-Cap Equity Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.7,CSSPX - Cohen & Steers Global Realty Shares Inc Class I,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.8,GERIX - Goldman Sachs Emerging Mkts Equity Insight Fd IN,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.9,OANMX - Oakmark Fund Institutional Class,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.10,GLIFX - Lazard Global Listed Infrastructure Ptf Insti Sh,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.11,LBFIX - Clearbridge Select Fd I,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.12,VWILX - Vanguard International Growth Fund Admiral Share,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.13,BSBIX - Baird Short Term Bond Fund Institutional Class,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.14,JSOSX - Jpmorgan Strategic Income Opportunities Fund I C,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.15,GOBIX - Brandywineglobal - Global Opportunities Bond Fun,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.16,RPIFX - T. Rowe Price Institutional Floating Rate Fund,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
7.17,VWIUX - Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7.18,DVY - iShares Select Dividend ETF,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8,Ann M Coons Charitable Remainder Trust,TrustGeneral Trust,Spouse,,,
8.1,"WSFS Bank(Wilmington, DE)Type: Checking,",Bank Deposit,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
8.2,Jackson Variable AnnuityProvider: FCG Advisors LLC,AnnuityVariable Annuity,Spouse,,,
8.2.1,JNL/PPM America HighYldBd,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.2,JNL/PPM America FlRateInc,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.3,JNL/Neuberger Strat Inc,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.4,JNL/DoubleLineTR,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.5,JNL/Fr Temp GlblMultiSec,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
8.2.6,JNL/JPMorgan US Gov&Qual,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
8.2.7,JNL/DFA US Core Equity,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.8,JNL/JPMorgan MidCapGrowth,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.9,JNL/MC Sm Cap Index,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.10,JNL/WCM Focused IntlEq,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.11,JNL/MC Emg Mkts Index,Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
8.2.12,JNL/T. RowePriceCapAp,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
8.2.13,JNL/T. Rowe Price ShTmBd,Mutual FundsMutual Fund,Spouse,"$250,001 - $500,000","Excepted Investment Fund,",None (or less than $201)
9,Grandma Sally's Expand Your Horizon Trust John C Coons,TrustGeneral Trust,Child,,,
9.1,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
