Name,Office (Filer Type),Report Type,Date Received/Filed,Report Link,Annoying,Standard,Filename
"Smith, Tina","Smith, Tina (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/34de9852-21e9-45db-9975-8e7b4b4194af/,FALSE,TRUE,senate_reports/senate_reports_1731547630
"Stabenow, Debbie","Stabenow, Debbie A. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2a07642e-57d6-482c-abf1-71b5416afa66/,FALSE,TRUE,senate_reports/senate_reports_1731547631
"Sullivan, Daniel S","Sullivan, Dan (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/d312120e-0f6d-4d85-89f6-7aa083037537/,FALSE,TRUE,senate_reports/senate_reports_1731547632
"Tester, Raymond J","Tester, Jon (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/d8a0617f-2a28-465f-933c-21f67dbdce0d/,FALSE,TRUE,senate_reports/senate_reports_1731547633
"Thune, John R","Thune, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/0ffe1984-35f3-4389-a4c0-90025790ce96/,FALSE,TRUE,senate_reports/senate_reports_1731547634
"Tillis, Thomas R","Tillis, Thom (Senator)",Annual Report for CY 2023,08/09/2024,https://efdsearch.senate.gov/search/view/annual/5f91f59d-3962-48bd-a19f-fa97f502642f/,FALSE,TRUE,senate_reports/senate_reports_1731547635
"Tuberville, Thomas H","Tuberville, Tommy (Senator)",Annual Report for CY 2023,07/31/2024,https://efdsearch.senate.gov/search/view/annual/9fd713f6-2903-424f-9069-385bcfd463b4/,FALSE,TRUE,senate_reports/senate_reports_1731547636
"Vance, JD","Vance, J.D. (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/2f2f5bbc-50c5-4b00-acd9-85870f9e349c/,FALSE,TRUE,senate_reports/senate_reports_1731547638
"VANCE, JD",Senator,Annual Report (Amendment),08/06/2024,https://efdsearch.senate.gov/search/view/paper/478aa90c-8f73-4e84-8010-bcd4bdb8d992/,TRUE,FALSE,senate_reports/senate_reports_1731547639
"VAN HOLLEN, CHRIS",Senator,Annual Report,05/15/2024,https://efdsearch.senate.gov/search/view/paper/249d9537-fc4e-4331-8bb2-a1949ea71805/,TRUE,FALSE,senate_reports/senate_reports_1731547640
"Warner, Mark R","Warner, Mark (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/3e6d6b43-dd61-4594-813e-1c35ce99c58b/,FALSE,TRUE,senate_reports/senate_reports_1731547641
"Warnock, Raphael","Warnock, Raphael (Senator)",Annual Report for CY 2023 (Amendment 1),08/20/2024,https://efdsearch.senate.gov/search/view/annual/39bb13a4-a81f-44af-8869-8f6476e88fde/,FALSE,TRUE,senate_reports/senate_reports_1731547642
"Warnock, Raphael","Warnock, Raphael (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/4cca582f-16be-46f4-8378-744ad9b46c67/,FALSE,TRUE,senate_reports/senate_reports_1731547643
"Warren, Elizabeth","Warren, Elizabeth (Senator)",Annual Report for CY 2023,04/05/2024,https://efdsearch.senate.gov/search/view/annual/bcaf0292-332d-4c94-8303-1935043c16cf/,FALSE,TRUE,senate_reports/senate_reports_1731547647
"Welch, Peter","Welch, Peter (Senator)",Annual Report for CY 2023,04/30/2024,https://efdsearch.senate.gov/search/view/annual/7ed9a0a2-7cd3-4c92-bb28-b371d8459e8a/,FALSE,TRUE,senate_reports/senate_reports_1731547648
"Whitehouse, Sheldon","Whitehouse, Sheldon (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/1eb0d806-fa8f-44bd-a693-910e67cad938/,FALSE,TRUE,senate_reports/senate_reports_1731547650
"Wicker, Roger F","Wicker, Roger (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2f301679-7bb3-43a7-8adc-86dd7b13ddd9/,FALSE,TRUE,senate_reports/senate_reports_1731547651
"Wyden, Ron L","Wyden, Ron (Senator)",Annual Report for CY 2022 (Amendment 1),05/15/2024,https://efdsearch.senate.gov/search/view/annual/fa1783ce-c2c6-414a-91c2-5f660caeb8a0/,FALSE,TRUE,senate_reports/senate_reports_1731547652
"Wyden, Ron L","Wyden, Ron (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/ed172e8b-cb21-4759-8a1c-7b7125fc3454/,FALSE,TRUE,senate_reports/senate_reports_1731547653
"Young, Todd","Young, Todd (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/f40dcd83-4a4a-47b5-bb52-2ef517870c7f/,FALSE,TRUE,senate_reports/senate_reports_1731547654
