,First Name (Middle),Last Name (Suffix),Office (Filer Type),Report Type,Date Received/Filed,Report URL
46,Charles E,Grassley,"Grassley, Charles E. (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/2f0bcbce-b93f-44f0-b1cf-4380419ce0af/
47,William F,"Hagerty, IV","Hagerty, Bill (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/03b313b5-2492-4264-8fa0-2f14bbafde77/
48,Maggie,Hassan,"Hassan, Maggie (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/32481311-3b9a-4ad3-be14-520c173cf5e3/
49,Joshua D,Hawley,"Hawley, Josh (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/b5927b5e-a907-4e99-9ad4-957f0e2bceb3/
50,Martin,Heinrich,"Heinrich, Martin (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/ea129bbd-77b9-47a0-aeb9-f5faa5158934/
51,John W,Hickenlooper,"Hickenlooper, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/5f667aa1-b9ab-4fe2-bced-c43f4f103c48/
52,Mazie K,Hirono,"Hirono, Mazie Keiko (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/16dad072-2ce0-4bc8-ad36-c51aca7ec2fb/
53,John,Hoeven,"Hoeven, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/c1569647-99b6-40c2-be51-97c8d800d9e6/
54,Cindy,Hyde-Smith,"Hyde-Smith, Cindy (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/d20d2883-5d04-4355-901c-cce12f0c9a55/
55,Ron,Johnson,"Johnson, Ron (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/d9214500-b134-4e99-8584-0e49cfb247e9/
56,Timothy M,Kaine,"Kaine, Tim (Senator)",Annual Report for CY 2023,05/13/2024,https://efdsearch.senate.gov/search/view/annual/96e64ed2-07fd-461c-a52d-b251b0ebe271/
57,Mark E,Kelly,"Kelly, Mark (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/deaf96b2-f782-4cc2-89fc-f0f619e9aed4/
58,Mark E,Kelly,"Kelly, Mark (Senator)",Annual Report for CY 2022 (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/c21622bd-985a-4f17-b9f6-216ee6d51f44/
59,MARK E,KELLY,Senator,Annual Report (Amendment),08/13/2024,https://efdsearch.senate.gov/search/view/paper/fef0d054-e714-48ae-a01b-564cc7ca7e2c/
60,John N,Kennedy,"Kennedy, John (Senator)",Annual Report for CY 2023,08/07/2024,https://efdsearch.senate.gov/search/view/annual/074d6eed-7fc7-41ec-900d-ee22977637f1/
61,Angus S,"King, Jr.","King, Angus (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/a15394cf-6a90-4ca9-8769-74fbde06bb6c/
62,Amy J,Klobuchar,"Klobuchar, Amy (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/4556b4d9-a44d-4b8f-8ef7-f099b99cd4a2/
63,James P,Lankford,"Lankford, James (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/b43f1c48-5289-4bc7-a3bb-12b46a6650a6/
64,Michael S,Lee,"Lee, Mike (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/bb92d489-a444-452f-8fc3-783f92d061cd/
65,BEN RAY,LUJAN,Senator,Annual Report,05/15/2024,https://efdsearch.senate.gov/search/view/paper/b958913d-0f7b-43ac-9335-c927181ca50e/
66,BEN RAY,LUJAN,Senator,Annual Report (Amendment),02/21/2024,https://efdsearch.senate.gov/search/view/paper/579e0765-75a4-4d8b-9c2d-23b8ecace6d7/
67,Cynthia M,Lummis,"Lummis, Cynthia (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/8dc381a6-f1a4-45d5-b2df-254b7c3fe23f/
68,Joseph,"Manchin, III","Manchin, Joe (Senator)",Annual Report for CY 2023 (Amendment 1),10/30/2024,https://efdsearch.senate.gov/search/view/annual/369b559d-467f-4fc8-aca2-938d83cc0eb3/
69,Joseph,"Manchin, III","Manchin, Joe (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/0e5ba574-5ea4-475b-9967-86d065d0db7c/
70,EDWARD J,MARKEY,Senator,Annual Report,05/15/2024,https://efdsearch.senate.gov/search/view/paper/ecdbf62a-3af7-4f6b-8221-a5156c05558f/
71,Roger W,Marshall,"Marshall, Roger (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/a9edda97-d22c-45c2-bff6-81e92b757285/
72,A. Mitchell,"McConnell, Jr.","McConnell, A. Mitchell Jr. (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/632f557a-c28b-43a9-8de5-1be4faf38032/
73,Jeffrey A,Merkley,"Merkley, Jeff (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/b40609b3-2856-4dfd-8474-c1ef29624c19/
74,Jerry,"Moran,","Moran, Jerry (Senator)",Annual Report for CY 2023,06/13/2024,https://efdsearch.senate.gov/search/view/annual/8b8b4899-b615-438e-b683-89d579f69ac1/
75,Markwayne,Mullin,"Mullin, Markwayne (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/314cb4e0-b326-43be-adf7-e783beb591a0/
76,Lisa A,Murkowski,"Murkowski, Lisa (Senator)",Annual Report for CY 2022 (Amendment 1),01/24/2024,https://efdsearch.senate.gov/search/view/annual/d77dec56-b482-4683-9cff-d8ea240b8c3c/
77,Lisa A,Murkowski,"Murkowski, Lisa (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/b4b6e7f5-acbb-4a6c-8094-1e554d2149b0/
78,Lisa A,Murkowski,"Murkowski, Lisa (Senator)",Annual Report for CY 2022 (Amendment 2),05/15/2024,https://efdsearch.senate.gov/search/view/annual/3eb2708b-9cd5-4409-b642-e894c97f29d2/
79,Christopher,Murphy,"Murphy, Chris (Senator)",Annual Report for CY 2023,08/09/2024,https://efdsearch.senate.gov/search/view/annual/5f41230d-a763-4b5c-ba50-7756a8226e04/
80,CHRISTOPHER,MURPHY,Senator,Annual Report (Amendment),08/09/2024,https://efdsearch.senate.gov/search/view/paper/c3823f10-1394-40db-976b-444358e16432/
81,Patty,Murray,"Murray, Patty (Senator)",Annual Report for CY 2023,04/26/2024,https://efdsearch.senate.gov/search/view/annual/0338e0f7-7a96-4b8b-b768-1c99ceb415a9/
