last_name,first_name,state,filing_year
Frost,Maxwell,FL,2024
Fry,Russell,SC,2024
Fulcher,Russ,ID,2024
Garamendi,John,CA,2024
Garbarino,Andrew R.,NY,2024
Garcia,Robert,CA,2024
Garcia,Sylvia R.,TX,2024
Garcia,"Jesús G. ""Chuy""",IL,2024
Gill,Brandon,TX,2024
Gillen,Laura,NY,2024
Gimenez,Carlos A.,FL,2024
Golden,Jared F.,ME,2024
Goldman,Craig A.,TX,2024
Goldman,Daniel S.,NY,2024
Gomez,Jimmy,CA,2024
Gonzales,Tony,TX,2024
Gonzalez,Vicente,TX,2024
Gooden,Lance,TX,2024
Goodlander,Maggie,NH,2024
Gosar,Paul A.,AZ,2024
Gottheimer,Josh,NJ,2024
Graves,Sam,MO,2024
Gray,Adam,CA,2024
Green,Al,TX,2024
Griffith,H. Morgan,VA,2024
Grothman,Glenn,WI,2024
Guest,Michael,MS,2024
Guthrie,Brett,KY,2024
Hageman,Harriet M.,WY,2024
Hagerty,Bill,TN,2025
Hamadeh,Abraham J.,AZ,2024
Harder,Josh,CA,2024
Haridopolos,Mike,FL,2024
Harrigan,Pat,NC,2024
Harris,Andy,MD,2024
Harris,Mark,NC,2024
Harshbarger,Diana,TN,2024
Hassan,Margaret Wood,NH,2025
Hayes,Jahana,CT,2024
Heinrich,Martin,NM,2025
Hern,Kevin,OK,2024
Hernandez,Pablo Jose,PR,2024
Higgins,Clay,LA,2024
Hill,J. French,AR,2024
Himes,James A.,CT,2024
Arenholz,Ashley,IA,2024
Hirono,Mazie K.,HI,2025
Horsford,Steven,NV,2024
Houchin,Erin,IN,2024
Houlahan,Chrissy,PA,2024
Hoyer,Steny H.,MD,2024
Hudson,Richard,NC,2024
Huizenga,Bill,MI,2024
Hunt,Wesley,TX,2024
Hurd,Jeff,CO,2024
Hyde-Smith,Cindy,MS,2025
Issa,Darrell,CA,2024
Ivey,Glenn,MD,2024
Jack,Brian,GA,2024
Jackson,Jonathan L.,IL,2024
Jackson,Ronny,TX,2024
Jacobs,Sara,CA,2024
James,John,MI,2024
Jayapal,Pramila,WA,2024
Jeffries,Hakeem S.,NY,2024
Johnson,Dusty,SD,2024
Johnson,"Henry C. ""Hank""",GA,2024
Johnson,Julie,TX,2024
Johnson,Mike,LA,2024
Jordan,Jim,OH,2024
Joyce,David P.,OH,2024
Joyce,John,PA,2024
Justice,James C.,WV,2025
Kamlager-Dove,Sydney,CA,2024
Kaptur,Marcy,OH,2024
Kean,Thomas H.,NJ,2024
Keating,William R.,MA,2024
Kelly,Mark,AZ,2025
Kelly,Mike,PA,2024
Kelly,Robin L.,IL,2024
Kelly,Trent,MS,2024
Kennedy,John,LA,2025
Kennedy,Mike,UT,2024
Kennedy,Timothy M.,NY,2024
Khanna,Ro,CA,2024
Kiggans,Jennifer A.,VA,2024
Kiley,Kevin,CA,2024
Kim,Andy,NJ,2025
Kim,Young,CA,2024
King-Hinds,Kimberlyn,MP,2024
Knott,Brad,NC,2024
Krishnamoorthi,Raja,IL,2024
Kustoff,David,TN,2024
LaHood,Darin,IL,2024
LaLota,Nick,NY,2024
LaMalfa,Doug,CA,2024
Landsman,Greg,OH,2024
Langworthy,Nicholas A.,NY,2024
Larsen,Rick,WA,2024
Larson,John B.,CT,2024
Latta,Robert E.,OH,2024
Lawler,Michael,NY,2024
Lee,Laurel M.,FL,2024
Lee,Mike,UT,2025
Lee,Summer L.,PA,2024
Lee,Susie,NV,2024
Leger Fernandez,Teresa,NM,2024
Letlow,Julia,LA,2024
Levin,Mike,CA,2024
Liccardo,Sam T.,CA,2024
Lieu,Ted,CA,2024
Lofgren,Zoe,CA,2024
Loudermilk,Barry,GA,2024
Lucas,Frank D.,OK,2024
Lummis,Cynthia M.,WY,2025
Paulina Luna,Anna,FL,2024
Luttrell,Morgan,TX,2024
Lynch,Stephen F.,MA,2024
Mace,Nancy,SC,2024
Mackenzie,Ryan,PA,2024
Magaziner,Seth,RI,2024
Malliotakis,Nicole,NY,2024
Maloy,Celeste,UT,2024
Mann,Tracey,KS,2024
Mannion,John W.,NY,2024
Marshall,Roger,KS,2025
Massie,Thomas,KY,2024
Mast,Brian J.,FL,2024
Matsui,Doris O.,CA,2024
McBath,Lucy,GA,2024
McBride,Sarah,DE,2024
McCaul,Michael T.,TX,2024
Delaney,April,MD,2024
McClain,Lisa C.,MI,2024
McClellan,Jennifer L.,VA,2024
McClintock,Tom,CA,2024
McCollum,Betty,MN,2024
McConnell,Mitch,KY,2025
McCormick,David,PA,2025
McCormick,Richard,GA,2024
McDonald Rivet,Kristen,MI,2024
McDowell,Addison P.,NC,2024
McGarvey,Morgan,KY,2024
McGovern,James P.,MA,2024
McGuire,John J.,VA,2024
McIver,LaMonica,NJ,2024
Meeks,Gregory W.,NY,2024
Menendez,Robert,NJ,2024
Meng,Grace,NY,2024
Messmer,Mark B.,IN,2024
Meuser,Daniel,PA,2024
Mfume,Kweisi,MD,2024
Miller,Carol D.,WV,2024
Miller,Mary E.,IL,2024
Miller,Max L.,OH,2024
Miller-Meeks,Mariannette,IA,2024
Mills,Cory,FL,2024
Min,Dave,CA,2024
Moolenaar,John R.,MI,2024
Moore,Barry,AL,2024
Moore,Blake D.,UT,2024
Moore,Gwen,WI,2024
Moore,Riley M.,WV,2024
Moore,Tim,NC,2024
Moran,Nathaniel,TX,2024
Morelle,Joseph D.,NY,2024
Moreno,Bernie,OH,2025
Morrison,Kelly,MN,2024
Moskowitz,Jared,FL,2024
Moulton,Seth,MA,2024
Moylan,James C.,GU,2024
Mrvan,Frank J.,IN,2024
Mullin,Kevin,CA,2024
Mullin,Markwayne,OK,2025
Murphy,Christopher,CT,2025
Murphy,Gregory F.,NC,2024
Nadler,Jerrold,NY,2024
Neal,Richard E.,MA,2024
Neguse,Joe,CO,2024
Newhouse,Dan,WA,2024
Norcross,Donald,NJ,2024
Norman,Ralph,SC,2024
Norton,Eleanor Holmes,DC,2024
Nunn,Zachary,IA,2024
Obernolte,Jay,CA,2024
Ogles,Andrew,TN,2024
Olszewski,Johnny,MD,2024
Omar,Ilhan,MN,2024
Onder,Robert F.,MO,2024
Owens,Burgess,UT,2024
Padilla,Alex,CA,2025
Pallone,Frank,NJ,2024
Palmer,Gary J.,AL,2024
Panetta,Jimmy,CA,2024
Pappas,Chris,NH,2024
Patronis,Jimmy,FL,2024
Paul,Rand,KY,2025
Pelosi,Nancy,CA,2024
Gluesenkamp Perez,Marie,WA,2024
Perry,Scott,PA,2024
Peters,Scott H.,CA,2024
Pettersen,Brittany,CO,2024
Pfluger,August,TX,2024
Pingree,Chellie,ME,2024
Plaskett,Stacey E.,VI,2024
Pocan,Mark,WI,2024
Pou,Nellie,NJ,2024
Pressley,Ayanna,MA,2024
Quigley,Mike,IL,2024
Ramirez,Delia C.,IL,2024
Randall,Emily,WA,2024
Raskin,Jamie,MD,2024
Reschenthaler,Guy,PA,2024
Riley,Josh,NY,2024
Risch,James E.,ID,2025
Rivas,Luz M.,CA,2024
Rogers,Harold,KY,2024
Rogers,Mike D.,AL,2024
Rosen,Jacky,NV,2025
Ross,Deborah K.,NC,2024
Rounds,Mike,SD,2025
Rouzer,David,NC,2024
Roy,Chip,TX,2024
Ruiz,Raul,CA,2024
Rulli,Michael A.,OH,2024
Rutherford,John H.,FL,2024
Ryan,Patrick,NY,2024
Salazar,Maria Elvira,FL,2024
Salinas,Andrea,OR,2024
Scalise,Steve,LA,2024
Scanlon,Mary Gay,PA,2024
Schakowsky,Janice D.,IL,2024
Schatz,Brian,HI,2025
Schiff,Adam B.,CA,2025
Schmidt,Derek,KS,2024
Schmitt,Eric,MO,2025
Schneider,Bradley Scott,IL,2024
Scholten,Hillary J.,MI,2024
Schrier,Kim,WA,2024
Schweikert,David,AZ,2024
Scott,Austin,GA,2024
Scott,David,GA,2024
Scott,Rick,FL,2025
Scott,"Robert C. ""Bobby""",VA,2024
Self,Keith,TX,2024
Sessions,Pete,TX,2024
Sewell,Terri A.,AL,2024
Shaheen,Jeanne,NH,2025
Sheehy,Tim,MT,2025
Sherman,Brad,CA,2024
Sherrill,Mikie,NJ,2024
Shreve,Jefferson,IN,2024
Simon,Lateefah,CA,2024
Simpson,Michael K.,ID,2024
Slotkin,Elissa,MI,2025
Smith,Adam,WA,2024
Smith,Adrian,NE,2024
Smith,Christopher H.,NJ,2024
Smith,Jason,MO,2024
Smucker,Lloyd,PA,2024
Sorensen,Eric,IL,2024
Soto,Darren,FL,2024
Spartz,Victoria,IN,2024
Stansbury,Melanie A.,NM,2024
Stanton,Greg,AZ,2024
Stauber,Pete,MN,2024
Stefanik,Elise M.,NY,2024
Steil,Bryan,WI,2024
Steube,W. Gregory,FL,2024
Stevens,Haley M.,MI,2024
Strong,Dale W.,AL,2024
Stutzman,Marlin A.,IN,2024
Subramanyam,Suhas,VA,2024
Sullivan,Dan,AK,2025
Suozzi,Thomas R.,NY,2024
Swalwell,Eric,CA,2024
Sykes,Emilia Strong,OH,2024
Sanchez,Linda T.,CA,2024
Takano,Mark,CA,2024
Taylor,David J.,OH,2024
Tenney,Claudia,NY,2024
Thanedar,Shri,MI,2024
Thompson,Bennie G.,MS,2024
Thompson,Glenn,PA,2024
Thompson,Mike,CA,2024
Tiffany,Thomas P.,WI,2024
Tillis,Thomas,NC,2025
Timmons,William R.,SC,2024
Tlaib,Rashida,MI,2024
Tokuda,Jill N.,HI,2024
Tonko,Paul,NY,2024
Torres,Norma J.,CA,2024
Torres,Ritchie,NY,2024
Trahan,Lori,MA,2024
Tran,Derek,CA,2024
Tuberville,Tommy,AL,2025
Turner,Michael R.,OH,2024
Underwood,Lauren,IL,2024
Valadao,David G.,CA,2024
Van Drew,Jefferson,NJ,2024
Van Duyne,Beth,TX,2024
Van Orden,Derrick,WI,2024
Vargas,Juan,CA,2024
Vasquez,Gabe,NM,2024
Veasey,Marc A.,TX,2024
Velázquez,Nydia M.,NY,2024
Vindman,Eugene Simon,VA,2024
Wagner,Ann,MO,2024
Walberg,Tim,MI,2024
Warner,Mark R.,VA,2025
Wasserman Schultz,Debbie,FL,2024
Waters,Maxine,CA,2024
Coleman,Bonnie,NJ,2024
Weber,Randy K. Sr.,TX,2024
Webster,Daniel,FL,2024
Westerman,Bruce,AR,2024
Whitehouse,Sheldon,RI,2025
Whitesides,George,CA,2024
Wicker,Roger F.,MS,2025
Wied,Tony,WI,2025
Williams,Nikema,GA,2024
Williams,Roger,TX,2024
Wilson,Frederica S.,FL,2024
Wilson,Joe,SC,2024
Wittman,Robert J.,VA,2024
Womack,Steve,AR,2024
Wyden,Ron,OR,2025
Yakym,Rudy,IN,2024
Zinke,Ryan K.,MT,2024
